Time,Rudder,Aileron,Elevator,Flap,Velocity kt,a_x fts^2,a_y fts^2,a_z fts^2,Side-slip angle deg,Angle of attack deg,Roll rate degs,Pitch rate degs,Yaw rate degs,Roll deg,Pitch deg
2780.65,0,-0.00384707625,-0.009454432781,0,108.1641374,0.05939818772,0.1273541487,-31.99002524,-0.2424376798,-0.3052687278,-0.0002366270331,-0.02439758386,-0.005893781024,-0.2985968563,0.2264670324
2780.67,0,-0.00384707625,-0.009454432781,0,108.1640778,0.05932963757,0.1273541849,-31.99001258,-0.2424382792,-0.3052677188,-0.0002217449392,-0.02440860006,-0.005894216609,-0.2986025389,0.2258706167
2780.68,0,-0.00384707625,-0.009454432781,0,108.1640413,0.0592836352,0.1273539742,-31.99000479,-0.2424385047,-0.3052671218,-0.0002119424984,-0.02441406503,-0.005894449178,-0.2986061216,0.225472864
2780.71,0,-0.00384707625,-0.009454432781,0,108.1640027,0.05923735073,0.1273546981,-31.98999499,-0.2424392607,-0.3052665644,-0.000202258965,-0.02441812188,-0.005894613068,-0.298609542,0.2250750262
2780.75,0,-0.00384707625,-0.009454432781,0,108.163913,0.05912797753,0.1273565585,-31.98994367,-0.2424411562,-0.3052649987,-0.000177382447,-0.02443291577,-0.005894861966,-0.2986173785,0.2240800781
2780.77,0,-0.00384707625,-0.009454432781,0,108.1638602,0.05905749815,0.1273585056,-31.98993131,-0.2424428242,-0.3052642162,-0.0001624706817,-0.02443908352,-0.005894897311,-0.2986215823,0.2234828201
2780.78,0,-0.00384707625,-0.009454432781,0,108.1638332,0.05901089976,0.1273583399,-31.98992808,-0.2424430619,-0.3052637221,-0.0001524470017,-0.02444153466,-0.00589489388,-0.2986241761,0.2230845721
2780.82,0,-0.00384707625,-0.009454432781,0,108.1637765,0.05892337272,0.1273599427,-31.98988824,-0.2424445994,-0.3052625591,-0.0001322282968,-0.02445286108,-0.005894657532,-0.2986288616,0.2222878625
2780.84,0,-0.00384707625,-0.009454432781,0,108.1637505,0.05887594198,0.1273606869,-31.98988505,-0.2424453725,-0.3052620906,-0.000122117754,-0.02445637209,-0.005894493366,-0.2986309516,0.2218893802
2780.86,0,-0.00384707625,-0.009454432781,0,108.1637108,0.05881101296,0.1273628424,-31.98984624,-0.2424470609,-0.3052613335,-0.0001067461799,-0.02446155804,-0.005894178116,-0.2986337708,0.2212915653
2780.89,0,-0.00384707625,-0.009454432781,0,108.1636721,0.05871582409,0.127363422,-31.9898486,-0.2424481044,-0.3052604126,-8.600746519e-05,-0.02447077312,-0.005893620024,-0.2986369247,0.2204942113
2780.91,0,-0.00384707625,-0.009454432781,0,108.1636532,0.05866779119,0.1273642051,-31.98984853,-0.2424488938,-0.3052600415,-7.569831071e-05,-0.02447309125,-0.005893276621,-0.2986382436,0.2200954355
2780.93,0,-0.00384707625,-0.009454432781,0,108.1636202,0.0585785002,0.1273659384,-31.9898192,-0.2424504863,-0.3052592076,-5.481507166e-05,-0.02447880853,-0.005892443564,-0.2986403644,0.2192977875
2780.97,0,-0.00384707625,-0.009454432781,0,108.1635996,0.0585055481,0.1273671394,-31.98982329,-0.242451694,-0.3052586746,-3.906205195e-05,-0.02448333115,-0.005891698888,-0.2986414958,0.2186993954
2780.98,0,-0.00384707625,-0.009454432781,0,108.1635879,0.05845697089,0.1273679532,-31.98982666,-0.2424525052,-0.3052583795,-2.849929464e-05,-0.02448447979,-0.005891171507,-0.2986420312,0.2183004152
2781.02,0,-0.00384707625,-0.009454432781,0,108.1635691,0.05836652775,0.1273697569,-31.9898042,-0.2424541443,-0.3052576869,-7.118871835e-06,-0.02448790007,-0.005889968291,-0.2986425725,0.2175024164
2781.04,0,-0.00384707625,-0.009454432781,0,108.1635628,0.05829257765,0.12737184,-31.98981128,-0.2424548706,-0.3052572401,9.129896364e-06,-0.024490731,-0.005888978146,-0.2986425084,0.2169038112
2781.07,0,-0.00384707625,-0.009454432781,0,108.1635544,0.05824353422,0.1273718737,-31.98982036,-0.2424562268,-0.3052570197,1.979582143e-05,-0.02449078998,-0.005888231209,-0.2986422408,0.2165047121
2781.08,0,-0.00384707625,-0.009454432781,0,108.1635467,0.05817602885,0.1273741902,-31.9897969,-0.2424580103,-0.3052565967,3.621260181e-05,-0.02449083976,-0.00588708756,-0.2986415034,0.2159060797
2781.12,0.05,-0.00384707625,-0.009454432781,0,108.1635504,0.04121460992,-0.2361932786,-32.00043045,-0.24341987,-0.3052560906,-0.04007427785,-0.02431346415,0.05484111673,-0.2986398746,0.2151078341
2781.13,0.05,-0.00384707625,-0.009454432781,0,108.1635466,0.04152628779,-0.2111073668,-31.99785771,-0.2462010729,-0.3052644727,-0.1066157463,-0.02441645203,0.1745467598,-0.2996029579,0.2147118558
2781.18,0.05,-0.00384707625,-0.009454432781,0,108.1635045,0.03986879133,-0.164161974,-31.99274051,-0.2576159946,-0.3053384121,-0.1929002902,-0.02596095697,0.4063665206,-0.3043846943,0.2139006278
2781.19,0.05,-0.00384707625,-0.009454432781,0,108.1634163,0.03653965475,-0.1294830607,-31.98863349,-0.2711030094,-0.3054591019,-0.2233808564,-0.02776736052,0.5727814414,-0.3095098989,0.2132508992
2781.21,0.05,-0.00384707625,-0.009454432781,0,108.1633282,0.03338934239,-0.106154657,-31.98568551,-0.282336194,-0.3055724217,-0.2299522453,-0.02906037116,0.6798205777,-0.313270891,0.2127919669
2781.24,0.05,-0.00384707625,-0.009454432781,0,108.163037,0.02502183746,-0.05826544206,-31.97924739,-0.3099147746,-0.3058693182,-0.2148501907,-0.03143558822,0.8837543655,-0.3208387537,0.2118108822
2781.26,0.05,-0.00384707625,-0.009454432781,0,108.1628277,0.0198746175,-0.03349358745,-31.97584959,-0.3261308339,-0.3060454894,-0.1949042771,-0.03236290922,0.9803357678,-0.324344377,0.2112921599
2781.29,0.05,-0.00384707625,-0.009454432781,0,108.1622591,0.007862732151,0.01800496092,-31.96891791,-0.3630747536,-0.3064270185,-0.1337582453,-0.03339989726,1.162030628,-0.3301462576,0.2102158712
2781.31,0.05,-0.00384707625,-0.009454432781,0,108.1618913,0.001087381237,0.04478167766,-31.96548599,-0.383659064,-0.3066195535,-0.09373392515,-0.03343472814,1.246900024,-0.3322148488,0.2096679496
2781.35,0.05,-0.00384707625,-0.009454432781,0,108.1609688,-0.01382352972,0.1003801399,-31.95919137,-0.4286791765,-0.3069743753,0.002710946475,-0.03240938546,1.404159582,-0.3341874433,0.2085807172
2781.37,0.05,-0.00384707625,-0.009454432781,0,108.1600957,-0.02602311143,0.1437782024,-31.95521973,-0.4655108597,-0.3071861443,0.08769416791,-0.03065335887,1.510847123,-0.333429957,0.2077970846
2781.38,0.05,-0.00384707625,-0.009454432781,0,108.1594288,-0.03455786424,0.1734490108,-31.95304805,-0.4913765678,-0.3072883628,0.1496479361,-0.0290263412,1.576480435,-0.331714356,0.207301482
2781.41,0.05,-0.00384707625,-0.009454432781,0,108.158682,-0.04338207396,0.2036571219,-31.95139379,-0.5181988579,-0.3073521068,0.2154284112,-0.02704697095,1.637657073,-0.3289498891,0.206834353
